rain_24h_mm,rain_72h_mm,river_ratio,soil_saturation,humidity_pct,wind_kmh,elevation_m,severity
5.0,33.8,0.544,0.286,46.4,20.3,77.2,0
124.5,150.3,1.034,0.769,52.3,11.6,74.8,3
5.8,35.8,0.308,0.407,70.8,38.4,51.2,0
6.0,14.8,0.284,0.392,54.5,27.7,147.7,0
46.8,85.6,0.642,0.67,60.8,13.9,217.9,1
47.8,61.2,0.471,0.376,63.9,14.9,61.2,1
14.9,31.3,0.403,0.384,74.6,18.3,56.2,0
4.1,11.6,0.477,0.263,49.2,12.4,49.4,0
11.2,237.5,1.382,0.995,45.9,19.0,28.8,3
20.3,56.6,0.578,0.228,71.3,12.4,67.4,0
3.1,8.7,0.25,0.226,42.7,8.0,54.5,0
25.4,58.3,0.66,0.27,66.4,6.7,123.5,0
41.5,120.8,0.779,0.568,58.0,10.3,155.8,1
1.2,39.6,0.493,0.27,55.7,13.4,33.0,0
42.1,70.2,0.707,0.47,47.2,7.1,45.5,1
7.4,19.6,0.404,0.37,73.9,22.4,69.6,0
80.2,118.6,1.064,0.637,61.8,17.4,54.9,3
38.0,95.4,0.778,0.498,52.5,11.4,119.3,1
32.0,90.0,0.764,0.34,61.5,6.4,51.7,1
14.9,50.1,0.523,0.414,49.2,24.3,65.1,0
137.7,172.8,1.288,0.847,77.4,36.9,55.3,3
10.2,100.4,0.712,0.517,43.5,1.4,71.6,1
4.4,87.1,0.713,0.62,53.9,12.9,22.0,1
7.8,32.1,0.36,0.196,48.4,26.9,153.9,0
48.6,170.6,1.048,0.774,53.5,20.2,61.3,3
19.9,25.6,0.362,0.256,47.7,3.6,50.9,0
16.9,53.5,0.515,0.335,61.8,9.9,80.2,0
10.4,50.6,0.505,0.424,50.9,4.8,49.7,0
15.9,27.2,0.593,0.326,53.1,5.7,79.0,0
9.5,13.6,0.476,0.327,56.9,12.2,35.7,0
35.0,46.7,0.542,0.405,66.7,18.0,56.6,0
13.3,80.7,0.594,0.48,46.7,7.7,106.9,0
8.0,77.0,0.697,0.446,55.0,11.3,51.4,0
45.0,99.7,0.874,0.604,51.9,18.5,212.4,1
4.7,18.3,0.453,0.233,51.1,2.9,65.6,0
20.2,90.0,0.523,0.53,63.8,5.9,113.3,0
0.5,15.3,0.462,0.285,33.3,5.7,28.3,0
2.1,40.9,0.473,0.35,45.0,8.4,220.0,0
11.7,41.5,0.687,0.367,52.0,9.8,66.5,1
9.3,29.4,0.38,0.222,56.5,12.5,120.3,0
9.3,61.7,0.599,0.539,63.2,7.5,39.2,0
38.4,100.1,0.831,0.465,44.6,19.0,44.9,2
40.5,53.2,0.52,0.424,69.8,9.6,59.2,1
24.6,56.1,0.508,0.352,60.1,5.0,44.6,0
4.3,63.3,0.621,0.521,50.8,6.6,39.8,0
15.8,59.3,0.4,0.488,42.8,5.1,118.3,0
89.8,149.9,0.916,0.756,61.8,5.7,124.8,3
127.1,172.5,1.265,0.983,80.5,41.8,120.1,3
45.4,92.6,0.806,0.519,59.5,3.4,60.9,2
4.6,32.3,0.558,0.384,51.3,8.2,55.0,0
15.9,72.5,0.572,0.394,46.8,11.6,225.6,0
23.0,29.8,0.461,0.331,61.5,11.6,63.6,0
19.5,31.2,0.536,0.216,53.9,2.0,130.5,0
49.8,96.3,0.744,0.552,58.1,14.2,63.0,2
36.8,93.6,0.74,0.535,57.1,25.3,29.6,1
4.2,83.9,0.653,0.582,47.5,2.9,59.7,0
8.2,116.5,0.807,0.568,46.8,11.9,120.5,1
45.2,59.1,0.602,0.684,47.1,14.0,81.0,1
64.1,72.6,0.534,0.335,57.3,12.9,125.9,0
23.3,89.4,0.654,0.545,41.3,40.0,117.0,1
71.0,90.2,0.803,0.553,67.2,13.0,37.7,2
20.6,49.5,0.504,0.419,50.0,7.6,138.9,0
5.4,66.1,0.515,0.388,49.7,2.2,111.2,0
33.7,70.3,0.702,0.472,57.1,27.6,48.4,1
2.8,57.9,0.397,0.352,46.0,4.3,70.0,0
68.7,81.2,0.729,0.661,53.6,16.3,159.1,2
31.9,72.5,0.822,0.402,58.9,29.5,50.8,1
7.6,47.4,0.457,0.349,68.3,15.6,59.4,0
0.5,79.1,0.65,0.424,59.4,2.5,40.8,0
0.1,93.2,0.68,0.466,62.3,17.7,42.9,0
9.3,28.0,0.424,0.162,43.1,6.7,39.0,0
27.1,37.0,0.359,0.383,54.8,18.1,137.8,0
42.2,100.2,0.875,0.505,57.2,37.3,213.3,1
51.5,55.0,0.554,0.32,71.7,18.2,217.0,0
24.7,86.1,0.641,0.424,63.3,11.5,59.0,1
20.9,86.4,0.529,0.54,54.0,6.6,220.8,0
12.1,29.3,0.467,0.295,35.6,4.6,27.9,0
27.7,28.1,0.282,0.29,47.2,16.9,35.4,0
7.7,79.0,0.746,0.415,58.3,27.2,48.0,1
3.0,101.4,0.689,0.609,49.9,14.5,52.1,1
19.6,112.7,0.748,0.554,54.3,12.5,213.3,1
39.3,134.8,0.93,0.705,63.2,13.4,124.5,2
2.0,8.2,0.39,0.199,61.4,10.1,118.1,0
9.3,41.7,0.478,0.189,47.3,25.2,154.1,0
18.8,58.4,0.612,0.587,59.7,19.6,110.7,0
18.4,52.7,0.641,0.434,67.8,30.8,62.0,0
31.1,86.7,0.699,0.53,68.4,29.4,35.4,1
87.7,96.8,1.065,0.583,61.8,47.4,19.7,3
0.1,3.4,0.246,0.378,54.4,21.2,227.0,0
91.0,92.8,0.837,0.639,72.6,23.5,53.5,3
84.5,157.0,0.922,0.815,65.7,14.7,221.3,3
42.9,49.0,0.566,0.305,56.9,14.0,42.7,0
22.8,56.9,0.6,0.349,41.8,24.0,79.7,0
8.0,24.3,0.433,0.111,46.4,8.9,43.1,0
42.4,59.6,0.784,0.376,53.2,27.6,56.9,1
24.1,49.2,0.497,0.429,45.8,11.5,81.4,0
12.5,30.4,0.511,0.354,54.9,13.0,56.1,0
41.4,44.7,0.463,0.408,65.6,35.6,42.8,0
48.2,73.4,0.787,0.416,56.4,21.7,217.7,1
0.8,13.5,0.214,0.282,34.5,12.8,121.4,0
11.1,23.1,0.608,0.343,52.8,40.2,48.8,0
74.4,195.4,1.217,0.731,66.1,10.8,77.8,3
18.5,23.2,0.237,0.297,56.6,6.7,41.3,0
15.5,39.4,0.613,0.519,48.7,6.2,57.9,0
72.2,109.2,0.884,0.574,53.9,17.6,56.7,2
36.6,157.8,0.979,0.56,64.9,13.9,61.6,3
3.3,11.2,0.41,0.15,55.3,15.9,60.9,0
12.7,102.0,0.707,0.409,48.6,2.7,228.6,0
30.7,55.7,0.634,0.337,44.9,3.9,37.9,0
21.9,47.8,0.64,0.254,57.3,6.8,56.2,0
2.7,55.5,0.459,0.477,45.3,14.1,228.2,0
24.7,125.4,0.827,0.732,59.0,9.6,221.9,1
18.5,36.4,0.339,0.351,56.2,5.0,221.0,0
63.1,102.6,0.899,0.685,78.7,8.2,63.1,3
96.2,130.9,0.952,0.633,66.8,24.6,67.8,3
47.1,80.3,0.608,0.495,75.5,32.3,65.7,1
17.4,78.2,0.584,0.678,55.4,9.8,150.1,0
20.4,34.3,0.358,0.364,49.9,5.2,216.4,0
6.5,27.1,0.505,0.337,44.6,14.8,64.4,0
8.4,11.9,0.244,0.157,46.3,37.0,40.4,0
16.2,65.5,0.704,0.394,58.0,13.7,52.2,1
14.4,46.1,0.465,0.267,55.3,14.4,53.2,0
2.4,101.1,0.507,0.72,37.7,10.7,59.4,1
63.7,71.4,0.501,0.314,70.3,19.9,214.0,0
71.5,204.6,1.261,1.0,75.3,17.3,35.3,3
61.9,118.6,0.933,0.688,47.1,19.5,66.4,3
73.6,128.2,0.945,0.529,71.9,16.6,58.5,3
119.7,135.6,0.954,0.804,84.6,10.6,56.9,3
6.6,29.5,0.37,0.27,38.7,7.0,50.1,0
115.6,134.7,0.843,0.579,66.8,8.6,226.2,2
12.1,97.0,0.743,0.586,47.1,18.9,71.7,1
35.4,38.0,0.527,0.252,65.5,23.5,28.1,0
10.3,36.7,0.524,0.303,50.3,15.1,62.0,0
48.4,77.0,0.537,0.431,56.1,11.0,68.0,1
37.0,55.4,0.545,0.314,61.3,13.7,58.4,0
11.8,22.3,0.544,0.159,66.4,14.9,145.8,0
20.4,47.3,0.539,0.434,54.8,15.1,143.2,0
8.9,58.0,0.477,0.432,49.7,20.0,150.3,0
48.2,80.0,0.611,0.511,57.4,9.4,82.1,1
67.4,77.9,0.836,0.447,68.0,16.3,57.7,2
6.7,35.6,0.611,0.322,42.4,5.9,38.2,0
18.2,117.8,0.733,0.567,54.8,19.2,39.6,1
24.0,38.5,0.312,0.26,48.3,7.3,215.4,0
31.9,68.2,0.603,0.596,47.5,41.3,158.9,0
26.0,67.2,0.667,0.518,40.6,13.4,43.4,1
29.5,34.8,0.483,0.263,52.6,10.0,150.6,0
16.1,37.9,0.662,0.191,63.2,8.0,41.4,0
16.6,38.6,0.411,0.175,38.8,12.8,43.9,0
15.7,46.3,0.536,0.301,58.9,34.6,38.7,0
9.8,92.5,0.771,0.545,48.4,5.2,56.0,1
11.5,18.8,0.467,0.263,45.3,19.1,51.2,0
30.5,117.3,0.773,0.645,59.6,7.3,76.9,1
63.7,116.2,0.838,0.657,72.7,7.3,55.7,2
5.1,140.9,0.872,0.629,64.8,16.1,37.2,2
16.5,211.3,1.379,1.0,56.9,9.6,39.4,3
3.5,8.5,0.199,0.195,52.0,11.5,151.4,0
10.1,21.6,0.375,0.289,56.7,15.4,64.0,0
12.4,24.0,0.397,0.213,73.8,34.5,215.8,0
22.2,72.5,0.551,0.487,53.2,19.2,45.1,0
21.6,45.3,0.546,0.541,64.5,9.8,63.7,0
18.0,31.8,0.3,0.213,50.1,20.5,45.2,0
28.1,29.1,0.387,0.191,49.8,4.9,221.9,0
5.9,76.1,0.636,0.395,67.1,10.2,56.3,0
22.4,50.4,0.511,0.344,55.6,8.8,145.8,0
38.1,51.5,0.511,0.331,59.9,46.5,40.4,0
5.7,21.2,0.386,0.168,57.3,6.0,115.2,0
0.9,22.2,0.392,0.261,45.0,18.0,57.8,0
47.9,59.7,0.655,0.55,56.2,9.7,209.1,0
3.7,64.9,0.652,0.416,47.5,5.6,32.8,0
9.5,29.0,0.31,0.283,56.2,6.8,53.3,0
37.0,91.0,0.632,0.561,60.9,14.6,116.9,0
5.3,21.0,0.244,0.319,48.0,11.2,221.5,0
45.0,80.7,0.725,0.614,75.4,10.9,62.5,2
7.7,43.4,0.501,0.369,53.0,22.7,24.1,0
6.5,36.7,0.44,0.321,53.9,9.8,75.7,0
7.8,96.8,0.97,0.463,64.0,21.5,64.4,1
32.5,128.8,0.818,0.742,50.2,13.1,108.4,2
9.5,68.0,0.72,0.365,49.3,5.1,69.8,0
48.1,123.2,0.789,0.575,62.0,14.8,212.6,1
18.9,74.7,0.461,0.485,43.2,13.3,38.2,0
20.7,38.7,0.504,0.468,53.4,51.7,75.2,0
6.2,32.0,0.508,0.368,69.4,28.1,121.2,0
54.6,56.1,0.678,0.392,75.4,34.0,62.7,1
38.3,47.9,0.583,0.276,65.3,12.8,64.4,0
37.3,42.4,0.507,0.48,67.4,9.1,114.9,0
15.1,28.4,0.398,0.284,58.4,10.3,61.7,0
2.8,41.2,0.561,0.312,49.0,9.3,56.1,0
21.9,39.2,0.452,0.381,68.7,22.7,75.0,0
31.2,94.9,0.637,0.505,49.4,9.2,150.4,0
31.5,41.5,0.573,0.272,64.8,21.3,42.0,0
27.5,79.3,0.597,0.426,52.3,25.3,147.9,1
26.4,35.3,0.621,0.256,52.6,18.0,33.9,0
7.7,91.7,0.753,0.431,57.5,4.2,37.0,1
8.2,18.2,0.328,0.139,69.6,16.3,46.8,0
3.6,48.9,0.433,0.456,64.0,3.6,18.2,0
48.6,62.3,0.489,0.48,62.5,14.5,224.8,0
92.6,200.6,1.506,0.878,67.3,14.4,51.7,3
170.8,275.3,1.677,1.0,85.6,25.9,112.4,3
23.5,67.5,0.702,0.467,66.7,9.4,38.8,1
26.4,69.6,0.519,0.419,42.1,8.8,56.9,0
15.8,75.6,0.55,0.36,53.5,9.1,52.4,0
23.2,74.2,0.626,0.496,47.3,10.1,69.2,0
5.3,72.1,0.662,0.625,51.1,3.6,230.2,0
15.4,25.2,0.305,0.278,44.4,25.4,76.2,0
6.5,36.8,0.366,0.411,38.6,9.7,130.2,0
13.2,28.2,0.525,0.269,43.6,20.5,53.4,0
7.4,110.6,0.926,0.688,48.7,15.9,48.5,2
31.2,37.6,0.567,0.311,61.7,11.3,26.7,0
35.1,152.9,1.065,0.552,51.1,9.7,51.0,3
25.6,56.4,0.497,0.332,49.2,4.4,60.5,0
8.2,75.9,0.527,0.484,56.5,7.3,35.7,0
3.2,20.3,0.292,0.356,54.8,4.1,51.7,0
35.4,41.1,0.441,0.324,71.3,6.8,76.1,0
18.8,118.8,0.794,0.639,62.5,20.4,151.9,1
0.8,48.3,0.3,0.313,43.9,8.1,218.2,0
21.7,29.0,0.485,0.432,50.1,7.2,49.6,0
26.6,53.6,0.559,0.521,62.2,9.6,28.0,0
1.6,26.6,0.351,0.221,45.2,4.0,80.5,0
31.7,77.8,0.662,0.343,54.5,6.0,218.2,0
2.2,11.9,0.267,0.063,38.7,21.3,60.0,0
7.1,14.1,0.404,0.289,42.7,29.8,219.1,0
2.2,36.6,0.493,0.333,62.4,11.1,124.4,0
6.1,16.5,0.201,0.173,54.3,2.3,208.1,0
3.2,105.7,0.76,0.611,47.5,28.3,221.8,0
48.3,110.6,0.763,0.495,55.8,40.2,24.5,2
14.2,74.9,0.753,0.54,68.0,14.7,60.3,1
10.9,12.3,0.416,0.193,48.5,7.1,31.1,0
52.4,70.4,0.559,0.353,64.2,22.4,23.1,1
50.1,72.3,0.565,0.425,67.0,13.1,63.0,1
12.0,20.4,0.359,0.222,65.5,18.9,75.3,0
25.1,76.3,0.686,0.506,49.2,3.9,148.6,0
9.1,54.4,0.537,0.494,42.3,8.1,44.4,0
16.8,75.4,0.642,0.57,45.9,4.6,33.0,0
4.3,78.2,0.651,0.495,58.5,5.3,39.1,1
28.9,99.7,0.491,0.547,72.6,4.0,218.1,0
54.3,261.5,1.547,1.0,66.8,7.8,80.1,3
46.2,75.5,0.811,0.311,54.1,26.7,60.8,2
19.7,44.3,0.601,0.349,64.7,6.7,39.8,0
0.6,51.2,0.48,0.3,48.3,2.5,56.6,0
8.6,93.6,0.638,0.649,46.7,6.1,41.0,1
16.7,20.1,0.335,0.239,52.0,3.5,25.4,0
2.5,14.9,0.266,0.305,47.8,11.5,57.8,0
1.8,17.8,0.584,0.205,46.7,5.9,56.2,0
67.8,100.1,0.816,0.504,72.6,12.4,69.4,2
41.4,59.4,0.646,0.463,54.5,8.6,144.8,0
31.1,106.0,0.778,0.613,44.3,10.6,215.9,1
37.1,73.9,0.689,0.493,62.6,4.2,48.5,1
3.4,30.1,0.348,0.287,44.9,5.5,59.1,0
5.8,51.5,0.569,0.449,45.5,16.2,65.4,0
23.6,25.5,0.345,0.336,61.4,18.1,64.4,0
25.5,69.2,0.687,0.25,50.3,10.7,57.5,1
2.3,13.1,0.231,0.207,48.7,10.1,117.6,0
21.9,86.0,0.659,0.602,55.8,2.8,57.1,1
17.1,19.7,0.311,0.164,52.4,14.5,160.1,0
44.8,93.3,0.892,0.386,55.7,26.4,56.3,2
25.7,36.9,0.274,0.309,37.4,4.0,64.6,0
74.5,160.9,1.311,0.846,62.5,22.5,50.2,3
12.1,15.9,0.31,0.2,66.8,3.2,66.8,0
3.8,35.0,0.407,0.431,57.6,11.4,117.8,0
72.8,129.2,0.983,0.843,60.7,5.9,83.0,3
27.0,68.5,0.657,0.27,60.1,4.4,65.3,0
17.2,58.4,0.654,0.37,59.8,5.8,51.6,0
6.1,12.4,0.377,0.022,46.2,4.6,127.1,0
12.2,18.0,0.586,0.309,64.0,23.1,47.2,0
11.5,51.2,0.601,0.316,55.1,12.4,56.5,0
3.6,37.9,0.418,0.283,50.1,4.7,120.2,0
0.2,9.2,0.252,0.319,64.8,16.0,121.2,0
11.1,19.5,0.35,0.135,37.2,18.5,55.7,0
38.0,65.1,0.747,0.288,48.7,16.1,65.8,1
58.4,78.5,0.881,0.277,66.5,15.7,60.6,1
46.4,178.6,1.163,0.981,64.8,15.2,147.3,3
48.9,139.4,0.669,0.81,73.0,6.7,76.1,2
4.3,66.4,0.388,0.409,34.6,11.3,52.6,0
24.1,123.8,0.867,0.541,62.7,23.8,44.2,2
31.4,46.1,0.55,0.432,47.1,34.0,24.1,1
33.3,50.7,0.576,0.623,60.7,11.6,46.5,1
16.8,97.0,0.855,0.532,54.2,7.1,47.0,1
21.2,52.2,0.662,0.273,62.2,5.9,58.3,0
45.2,78.2,0.684,0.592,57.3,23.6,113.5,1
30.3,37.9,0.313,0.224,64.9,6.4,156.2,0
35.9,113.1,0.714,0.582,51.1,10.5,72.3,1
10.5,61.0,0.54,0.177,53.0,9.1,125.6,0
34.2,56.8,0.627,0.371,59.0,19.2,67.2,1
20.9,38.4,0.391,0.213,68.8,14.6,49.9,0
41.2,128.8,0.957,0.789,65.3,39.7,74.6,3
7.7,22.6,0.251,0.179,54.9,13.6,56.9,0
38.2,42.8,0.302,0.415,63.2,23.8,58.9,0
12.4,104.1,0.584,0.571,62.7,7.7,216.8,0
38.3,131.4,0.937,0.697,61.1,15.2,226.0,2
24.2,39.1,0.638,0.377,47.7,24.0,63.9,0
19.3,171.6,0.897,0.835,60.1,21.7,79.2,3
13.3,41.0,0.327,0.279,53.9,3.9,110.0,0
17.3,32.4,0.496,0.231,51.9,5.2,120.7,0
11.2,60.2,0.544,0.457,47.5,14.2,38.8,1
12.9,19.0,0.522,0.082,58.7,9.5,63.3,0
29.5,39.9,0.604,0.484,60.8,12.2,22.2,1
1.1,41.1,0.558,0.35,44.5,8.6,58.3,0
37.8,71.5,0.589,0.425,49.2,21.5,56.3,1
38.4,105.8,0.848,0.611,73.3,14.1,56.1,2
13.7,21.2,0.538,0.208,61.1,10.1,151.7,0
21.7,154.7,1.014,0.759,56.2,47.2,31.8,3
5.2,24.9,0.309,0.174,57.7,22.7,227.2,0
27.7,60.2,0.554,0.445,52.7,27.4,66.3,0
6.2,25.0,0.279,0.269,51.6,4.3,46.0,0
56.5,62.5,0.562,0.437,61.2,51.3,46.4,1
4.4,33.6,0.331,0.443,60.4,44.7,121.0,0
16.9,72.6,0.382,0.387,43.4,20.2,228.8,0
22.6,47.7,0.343,0.352,47.5,13.1,151.5,0
29.5,41.3,0.31,0.19,46.9,7.4,43.9,0
18.6,87.9,0.573,0.567,61.8,21.8,152.3,0
24.7,96.2,0.809,0.548,55.1,39.8,51.9,2
13.4,37.1,0.448,0.324,46.8,13.0,61.0,0
1.7,44.0,0.482,0.335,50.5,4.5,21.4,0
17.8,86.7,0.764,0.461,49.8,11.8,55.1,1
33.5,88.6,0.878,0.745,45.9,9.1,59.0,2
4.8,46.0,0.606,0.36,62.9,5.3,226.1,0
22.8,76.0,0.67,0.499,54.5,3.6,57.7,1
87.2,132.1,0.974,0.586,76.2,39.9,51.7,3
16.5,47.4,0.493,0.442,43.1,28.4,52.9,0
17.5,24.8,0.486,0.264,58.8,9.2,59.1,0
1.4,11.2,0.332,0.263,40.7,1.1,66.2,0
4.0,50.7,0.509,0.456,72.2,15.6,53.9,0
6.3,24.9,0.414,0.266,39.2,29.6,48.0,0
32.3,77.5,0.594,0.417,71.5,39.7,56.9,1
5.3,12.3,0.117,0.018,52.7,15.5,116.0,0
27.1,40.3,0.473,0.3,54.9,7.3,26.3,0
7.2,32.3,0.584,0.243,57.9,14.0,50.1,0
1.5,2.4,0.429,0.086,44.7,9.9,76.8,0
36.1,47.3,0.544,0.493,64.1,10.5,222.4,0
11.6,26.9,0.29,0.372,60.7,25.7,221.5,0
29.7,65.7,0.497,0.268,56.8,17.4,152.1,0
1.4,25.0,0.558,0.29,54.2,3.4,52.2,0
20.7,58.5,0.5,0.331,70.7,26.3,29.1,0
3.7,35.7,0.364,0.35,57.8,35.8,218.2,0
20.4,42.9,0.656,0.273,49.0,6.7,74.3,0
20.8,36.2,0.406,0.271,61.3,16.5,211.2,0
18.1,51.1,0.425,0.463,50.6,10.4,214.4,0
48.5,133.6,0.991,0.768,53.9,4.6,147.4,3
26.7,42.0,0.523,0.477,60.4,15.0,64.3,0
87.1,215.9,1.354,0.991,57.9,24.5,75.6,3
12.0,45.6,0.609,0.224,54.3,14.3,124.1,0
2.6,67.2,0.304,0.522,57.8,28.4,149.3,0
7.9,50.6,0.562,0.458,68.5,13.4,52.0,0
12.9,61.4,0.507,0.473,59.2,2.9,64.0,0
93.2,104.4,0.861,0.514,55.2,11.1,72.9,2
19.3,37.7,0.51,0.228,44.6,24.3,41.3,0
50.1,74.6,0.64,0.515,73.8,3.0,49.1,1
10.8,63.3,0.51,0.344,48.7,7.4,216.4,0
9.2,33.9,0.506,0.283,41.3,13.8,37.0,0
1.3,68.9,0.605,0.707,44.2,23.6,68.6,0
90.8,111.1,0.916,0.799,72.9,35.0,69.4,3
65.5,79.8,0.639,0.558,63.4,12.7,209.6,1
23.1,40.6,0.5,0.277,60.9,12.5,57.6,0
13.8,70.7,0.627,0.387,53.9,7.9,58.4,0
20.1,127.9,0.806,0.736,46.4,13.1,23.9,2
2.5,141.4,1.025,0.859,38.1,4.0,39.3,2
29.6,81.6,0.589,0.448,50.1,17.7,214.2,0
60.9,126.0,0.857,0.623,62.7,3.8,115.2,2
63.6,68.3,0.729,0.45,52.7,18.2,51.1,2
1.4,8.2,0.316,0.087,60.1,9.8,78.2,0
49.7,61.5,0.657,0.294,52.0,26.5,215.1,0
2.5,91.7,0.771,0.427,39.2,19.9,58.1,1
51.4,139.7,0.973,0.766,60.2,10.9,66.2,3
9.8,172.9,1.072,0.869,59.6,19.3,150.7,3
45.1,56.6,0.577,0.5,71.2,6.4,149.3,0
41.6,69.1,0.552,0.289,45.8,4.6,60.4,0
36.8,40.1,0.622,0.198,69.3,16.6,36.0,0
19.8,25.2,0.281,0.318,56.7,3.3,35.3,0
3.0,25.5,0.108,0.2,47.5,32.5,39.0,0
12.9,25.0,0.455,0.204,59.5,2.3,115.5,0
64.5,76.7,0.777,0.566,73.2,25.8,41.0,2
46.2,62.3,0.687,0.37,46.0,12.0,30.3,1
13.7,111.2,0.873,0.568,50.8,17.3,129.0,1
13.5,89.0,0.691,0.5,49.8,13.0,64.7,1
33.8,43.5,0.502,0.33,62.4,8.6,60.5,0
21.4,95.2,0.81,0.608,67.1,7.0,52.5,1
14.6,27.8,0.384,0.178,54.9,18.2,46.1,0
31.2,35.7,0.489,0.3,54.6,25.8,42.2,0
30.2,45.6,0.548,0.46,60.4,15.1,84.0,0
8.2,47.5,0.447,0.554,51.4,16.6,219.1,0
26.0,37.1,0.38,0.201,38.8,14.2,206.5,0
28.4,79.5,0.65,0.516,60.7,4.8,35.4,1
18.2,34.9,0.336,0.297,62.8,4.5,124.8,0
7.0,48.9,0.417,0.359,61.7,30.7,108.5,0
12.4,22.0,0.588,0.193,44.7,10.3,40.1,0
5.2,35.4,0.424,0.384,57.7,22.3,74.5,0
26.8,38.3,0.517,0.391,68.5,9.3,65.3,0
70.3,93.5,0.681,0.767,83.5,8.8,43.5,2
58.5,188.8,1.361,0.787,65.2,10.7,153.1,3
29.1,48.3,0.375,0.208,64.5,19.9,221.9,0
43.8,50.4,0.468,0.559,51.1,8.0,73.8,1
41.2,73.2,0.681,0.457,49.6,15.0,38.6,1
21.7,54.3,0.482,0.348,63.4,17.4,60.2,0
15.1,47.4,0.562,0.379,38.1,12.1,50.1,0
13.2,61.8,0.345,0.292,55.4,13.4,225.6,0
6.7,24.9,0.463,0.31,64.5,13.3,151.2,0
6.9,59.7,0.61,0.402,58.8,6.1,120.8,0
47.4,76.4,0.66,0.57,65.2,11.3,102.3,1
43.4,49.5,0.398,0.448,58.6,7.6,111.2,0
14.1,73.4,0.564,0.547,51.0,9.3,49.0,0
32.2,67.2,0.646,0.455,74.4,21.2,49.0,1
36.3,86.8,0.563,0.658,67.7,21.2,144.3,1
2.8,9.9,0.242,0.27,59.2,13.3,76.3,0
61.8,124.1,0.919,0.609,62.1,14.1,218.4,2
36.3,193.4,1.153,0.851,53.1,17.4,111.9,3
29.6,36.0,0.51,0.256,65.4,14.2,59.9,0
36.6,106.3,0.848,0.642,55.4,10.4,68.3,2
26.2,61.3,0.581,0.296,56.8,11.9,66.9,0
17.1,46.4,0.417,0.372,59.7,5.1,226.1,0
21.9,84.8,0.732,0.431,57.2,4.9,61.1,1
2.3,59.6,0.626,0.297,64.8,27.7,61.1,0
97.6,181.9,1.262,0.781,57.1,23.2,65.7,3
16.8,24.3,0.575,0.271,55.2,8.0,34.9,0
96.2,183.2,1.229,0.953,84.5,15.4,54.6,3
22.3,63.8,0.479,0.365,62.7,9.2,65.3,0
9.1,12.5,0.478,0.041,51.9,10.9,38.2,0
60.3,79.7,0.657,0.77,68.0,21.6,147.1,1
28.4,64.3,0.512,0.528,56.2,2.2,117.7,0
127.1,146.0,1.186,0.825,84.1,21.4,51.1,3
8.8,34.8,0.509,0.46,60.0,3.8,34.3,0
62.5,78.7,0.61,0.491,55.1,65.8,68.2,1
65.3,286.2,1.684,1.0,64.4,24.9,31.9,3
39.2,92.8,0.932,0.659,61.6,4.8,41.3,2
65.8,97.7,0.842,0.677,66.3,6.2,64.8,2
17.2,26.5,0.315,0.337,57.3,7.1,227.8,0
6.6,91.2,0.564,0.61,57.6,10.7,25.3,0
10.2,57.9,0.744,0.291,57.0,6.4,61.4,1
20.7,31.2,0.404,0.277,49.5,7.7,83.5,0
41.1,51.7,0.462,0.532,54.9,3.0,51.2,1
7.3,33.9,0.465,0.383,51.1,46.5,58.6,0
13.2,45.4,0.591,0.223,54.9,10.8,79.2,0
8.2,60.6,0.689,0.365,51.3,33.9,43.4,1
48.1,76.4,0.537,0.612,68.5,9.0,227.6,0
95.6,152.0,1.089,0.805,59.6,47.0,48.4,3
5.1,24.1,0.412,0.289,38.9,16.5,55.2,0
33.7,62.0,0.716,0.438,73.1,12.8,36.7,1
53.6,140.6,1.021,0.713,54.0,32.5,74.6,3
15.6,74.1,0.652,0.418,63.3,3.8,74.7,1
2.6,32.6,0.539,0.231,57.3,10.8,33.5,0
59.8,100.0,0.699,0.655,55.3,11.9,49.9,2
2.3,30.8,0.433,0.32,51.3,21.9,123.2,0
75.5,81.0,0.749,0.555,61.8,5.4,113.3,2
7.9,119.5,0.812,0.689,56.1,7.8,56.2,1
1.7,13.1,0.326,0.357,46.1,1.1,75.6,0
11.2,31.8,0.429,0.343,52.4,8.4,116.8,0
19.0,212.3,1.167,1.0,54.7,27.2,66.1,3
23.6,32.4,0.729,0.32,64.6,9.0,43.0,1
36.4,63.3,0.764,0.338,54.5,7.1,30.4,1
25.8,117.5,0.838,0.612,48.3,19.4,218.7,1
89.3,220.1,1.324,1.0,61.9,10.1,52.5,3
18.1,65.2,0.46,0.492,57.8,24.8,154.6,0
27.2,112.4,0.807,0.743,42.2,33.9,43.2,2
25.0,49.3,0.519,0.328,65.6,12.9,123.2,0
1.3,80.4,0.514,0.51,52.4,15.9,52.4,0
3.8,33.2,0.478,0.296,56.1,25.6,77.3,0
20.8,42.3,0.504,0.489,57.1,12.4,234.4,0
30.6,50.2,0.326,0.407,51.6,3.8,114.9,0
0.4,55.8,0.468,0.43,43.4,27.3,37.7,0
92.7,147.6,1.177,0.744,61.2,20.7,62.2,3
33.1,63.3,0.656,0.403,45.2,10.1,54.1,1
19.6,64.7,0.531,0.299,57.9,4.3,50.2,0
31.6,40.2,0.533,0.221,55.8,9.4,146.8,0
10.4,35.1,0.318,0.331,41.4,14.4,215.0,0
23.8,32.9,0.365,0.312,50.9,16.4,210.8,0
